App,Category,Installs_category,Rating,Mean_App_Sentiment,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
24 megapixel hd camera,PHOTOGRAPHY,More than moderate,,,802,5.1,Free,0.0,Everyone,Photography,2017-05-03,2.3 and up
24/7 BZ Reis,TRAVEL_AND_LOCAL,More than moderate,,,421,53.0,Free,0.0,Everyone,Travel & Local,2018-03-09,4.1 and up
25 Mins Ako ay may lobo Etc Pinoy Kid Song Offline,FAMILY,Very low,,,0,42.0,Free,0.0,Mature 17+,Entertainment,2018-07-29,2.3 and up
25WPM Amateur ham radio Koch CW Morse code trainer,TOOLS,Very low,,,0,3.7,Paid,1.49,Everyone,Tools,2018-05-18,2.1 and up
"2Date Dating App, Love and matching",DATING,High,2.3957582992128272,0.19575829921282706,41605,8.1,Free,0.0,Mature 17+,Dating,2018-07-26,4.0.3 and up
"2Do - Reminders, To-do List & Notes",PRODUCTIVITY,More than moderate,,,4649,30.0,Free,0.0,Everyone,Productivity,2018-06-19,5.0 and up
2RedBeans,DATING,Moderate,2.243233443266136,0.2432334432661356,337,32.0,Free,0.0,Mature 17+,Dating,2018-07-31,4.3 and up
2ndLine - Second Phone Number,COMMUNICATION,High,2.226094963023088,0.12609496302308804,15880,32.0,Free,0.0,Everyone,Communication,2018-08-03,4.0 and up
30 Day AB Challenge - Lumowell,HEALTH_AND_FITNESS,Moderate,,,793,40.0,Free,0.0,Everyone,Health & Fitness,2016-09-15,4.0.3 and up
30 Day Ab Challenge,HEALTH_AND_FITNESS,High,,,1886,7.6,Free,0.0,Everyone,Health & Fitness,2016-06-21,4.0 and up
30-Day Ab Challenge Tracker,HEALTH_AND_FITNESS,Moderate,,,224,0.36,Free,0.0,Everyone,Health & Fitness,2014-07-09,4.1 and up
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,Very low,,,1,3.7,Paid,1.49,Everyone,Education,2018-05-18,2.1 and up
350 Diy Room Decor Ideas,ART_AND_DESIGN,Moderate,,,27,17.0,Free,0.0,Everyone,Art & Design,2017-11-07,2.3 and up
360-M Flight,TOOLS,Moderate,,,84,24.0,Free,0.0,Everyone,Tools,2017-12-14,4.0.3 and up
365Scores - Live Scores,SPORTS,Very High,2.5594155844155844,0.25941558441558443,666521,25.0,Free,0.0,Everyone,Sports,2018-07-29,4.1 and up
3D Blue Glass Water Keyboard Theme,PERSONALIZATION,Very High,,,62209,7.4,Free,0.0,Everyone,Personalization,2018-07-01,4.0.3 and up
3D Bowling,SPORTS,Top Notch,,,1076243,13.0,Free,0.0,Everyone,Sports,2018-01-18,2.0.1 and up
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,More than moderate,,,1518,37.0,Free,0.0,Everyone,Art & Design,2018-08-03,2.3 and up
3D Color by Number with Voxels,FAMILY,High,,,5481,69.0,Free,0.0,Everyone,Entertainment,2018-07-07,4.4 and up
3D DJ – DJ Mixer 2018,FAMILY,High,,,6333,30.0,Free,0.0,Everyone,Entertainment,2018-05-25,5.0 and up
3D DJ – Music Mixer with Virtual DJ,FAMILY,More than moderate,,,796,28.0,Free,0.0,Everyone,Entertainment,2018-07-03,5.0 and up
3D Holograms Joke,FAMILY,Very High,,,31596,31.0,Free,0.0,Teen,Simulation,2016-12-23,2.3 and up
3D Live Neon Weed Launcher,PERSONALIZATION,More than moderate,2.5004545454545455,0.2504545454545455,1724,21.0,Free,0.0,Mature 17+,Personalization,2018-06-26,4.0.3 and up
3D Metal Piano Keys Keyboard Theme,FOOD_AND_DRINK,More than moderate,,,467,7.3,Free,0.0,Everyone,Food & Drink,2018-07-01,4.0.3 and up
3D Tennis,SPORTS,Top Notch,,,1008012,13.0,Free,0.0,Everyone,Sports,2017-12-05,2.1 and up
3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,FAMILY,Moderate,,,449,56.0,Free,0.0,Teen,Casual,2018-02-16,4.0 and up
3G DZ Configuration,COMMUNICATION,More than moderate,,,488,2.5,Free,0.0,Everyone,Communication,2015-11-19,3.0 and up
3G to 4G Converter - Simulator,TOOLS,Moderate,,,268,2.4,Free,0.0,Everyone,Tools,2018-02-21,4.1 and up
3G/4G Config Dz,TOOLS,More than moderate,,,2058,2.3,Free,0.0,Everyone,Tools,2017-05-15,4.0 and up
4 Paws PH,MEDICAL,Very low,,,1,29.0,Free,0.0,Everyone,Medical,2018-07-25,4.0.3 and up
4 in a row,GAME,Very High,,,47698,4.1,Free,0.0,Everyone,Board,2016-04-12,1.5 and up
4 x4 Offroad SUV 3D Truck Simulator Driving 2017,FAMILY,Low,,,32,37.0,Free,0.0,Everyone,Simulation,2017-12-06,2.3 and up
4-T's Bar-BQ & Catering,SHOPPING,Very low,,,0,0.24,Free,0.0,Everyone,Shopping,2017-01-16,4.1 and up
420 BZ Budeze Delivery,MEDICAL,Low,,,2,11.0,Free,0.0,Mature 17+,Medical,2018-06-06,4.1 and up
4Eternity EO,BUSINESS,Very low,,,0,2.0,Free,0.0,Everyone,Business,2018-01-17,4.1 and up
4K Ultra Camera,PHOTOGRAPHY,More than moderate,,,382,2.9,Free,0.0,Everyone,Photography,2018-07-30,2.2 and up
4K VIDEO PLAYER ULTRA HD,VIDEO_PLAYERS,Moderate,,,20,24.0,Free,0.0,Everyone,Video Players & Editors,2017-05-01,2.3.3 and up
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,High,2.4726640412057077,0.17266404120570789,7583,3.8,Free,0.0,Everyone 10+,Personalization,2018-07-04,4.0.3 and up
4x4 Jeep Racer,GAME,High,,,7279,54.0,Free,0.0,Everyone,Racing,2018-03-09,4.0 and up
5 Minute Ab Workouts,HEALTH_AND_FITNESS,More than moderate,,,2067,8.4,Free,0.0,Everyone,Health & Fitness,2018-05-18,4.1 and up
5 Minute Clinical Consult 2019 - #1 for 25 years,MEDICAL,Moderate,,,33,8.0,Free,0.0,Everyone,Medical,2018-05-02,4.2 and up
5 Minute Veterinary Consult: Canine & Feline,MEDICAL,Low,,,17,6.8,Free,0.0,Everyone,Medical,2018-03-29,4.2 and up
5 Nights at Cube Pizzeria City,GAME,More than moderate,,,2691,52.0,Free,0.0,Teen,Adventure,2017-02-22,4.2 and up
5-Minute Clinical Consult,MEDICAL,Moderate,,,84,6.1,Free,0.0,Everyone,Medical,2017-12-11,4.1 and up
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,Moderate,,,196,9.0,Free,0.0,Everyone 10+,Food & Drink,2017-02-17,2.3.3 and up
500 AP World History Questions,FAMILY,Low,,,7,1.2,Paid,9.99,Everyone,Education,2013-11-01,1.6 and up
50000 Free eBooks & Free AudioBooks,BOOKS_AND_REFERENCE,Very High,,,52312,11.0,Free,0.0,Teen,Books & Reference,2018-05-19,4.4 and up
591 Housing Trading - Hong Kong,HOUSE_AND_HOME,More than moderate,,,3522,15.0,Free,0.0,Everyone,House & Home,2018-08-02,4.0 and up
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",HOUSE_AND_HOME,High,,,24977,21.0,Free,0.0,Everyone,House & Home,2018-08-01,4.0.3 and up
7 Day Food Journal Challenge,LIFESTYLE,More than moderate,2.4268639770723106,0.1768639770723104,3346,14.0,Free,0.0,Teen,Lifestyle,2017-03-08,4.0.3 and up
7 Nights at Pixel Pizzeria - 2,GAME,High,,,23168,54.0,Free,0.0,Teen,Adventure,2018-07-09,4.4 and up
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,High,2.3423399408131553,0.1423399408131551,6011,4.3,Free,0.0,Everyone,Productivity,2015-12-19,4.1 and up
7 minute abs workout - Daily Ab Workout,HEALTH_AND_FITNESS,More than moderate,,,527,23.0,Free,0.0,Everyone,Health & Fitness,2018-03-30,4.1 and up
8 Ball Pool,GAME,Top Notch,2.348645949531123,0.0986459495311228,14201891,52.0,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,Very High,2.4863889675612993,0.18638896756129944,115721,67.0,Free,0.0,Everyone,Health & Fitness,2018-07-11,5.0 and up
95Live -SG#1 Live Streaming App,DATING,High,2.161886195286195,0.11188619528619528,4954,15.0,Free,0.0,Teen,Dating,2018-08-01,4.2 and up
98point6,MEDICAL,Moderate,,,47,21.0,Free,0.0,Everyone,Medical,2018-08-02,5.0 and up
9th stage,FOOD_AND_DRINK,More than moderate,,,454,16.0,Free,0.0,Everyone,Food & Drink,2018-03-28,4.0.3 and up
A & B Taxi,MAPS_AND_NAVIGATION,Low,,,41,25.0,Free,0.0,Everyone,Maps & Navigation,2018-07-04,4.0.3 and up
A Call From Santa Claus!,FAMILY,High,2.0840363349885407,0.13403633498854087,3720,11.0,Free,0.0,Everyone,Entertainment,2016-12-04,4.0.3 and up
A Manual of Acupuncture,MEDICAL,Low,,,214,68.0,Paid,33.99,Everyone,Medical,2017-10-02,4.0 and up
A Word A Day,FAMILY,High,2.0669886363636363,0.21698863636363636,2398,2.9,Free,0.0,Everyone,Education,2017-01-05,4.0 and up
A hundred,DATING,Moderate,,,236,8.8,Free,0.0,Mature 17+,Dating,2018-03-29,4.0.3 and up
A&E - Watch Full Episodes of TV Shows,FAMILY,High,2.2052574262360447,0.20525742623604465,29708,19.0,Free,0.0,Teen,Entertainment,2018-07-16,4.4 and up
A&W Restaurants,FOOD_AND_DRINK,Low,,,14,13.0,Free,0.0,Everyone,Food & Drink,2018-06-06,4.1 and up
A+ Mobile,FINANCE,Moderate,2.153419354686319,0.20341935468631894,730,6.3,Free,0.0,Everyone,Finance,2018-06-26,4.4 and up
A-B repeater,VIDEO_PLAYERS,Moderate,,,32,0.23,Free,0.0,Everyone,Video Players & Editors,2018-05-18,3.0 and up
A-J Media Vault,BOOKS_AND_REFERENCE,Low,,,1,24.0,Free,0.0,Everyone,Books & Reference,2017-01-04,4.0.3 and up
A-Y Collection,SHOPPING,Low,,,2,2.9,Free,0.0,Teen,Shopping,2018-02-16,4.1 and up
A-Z App Store,PRODUCTIVITY,High,,,2728,4.4,Free,0.0,Everyone,Productivity,2016-10-05,4.1 and up
A-Z Punjabi Songs & Music Videos 2018,FAMILY,More than moderate,,,367,5.1,Free,0.0,Everyone,Entertainment,2018-05-17,4.1 and up
A-Z Screen Recorder -,VIDEO_PLAYERS,Low,,,17,3.7,Free,0.0,Everyone,Video Players & Editors,2018-07-23,4.4 and up
A. O. Smith,TOOLS,Moderate,,,32,33.0,Free,0.0,Everyone,Tools,2018-05-21,4.0 and up
A.J. Green Wallpapers 4 Fans,LIFESTYLE,Very low,,,0,4.3,Free,0.0,Everyone,Lifestyle,2018-05-26,4.0 and up
A.J. Styles HD Wallpapers 2018,PHOTOGRAPHY,Low,,,1,7.6,Free,0.0,Everyone,Photography,2018-07-26,4.1 and up
A/C Air Conditioner Remote,TOOLS,High,,,7816,5.1,Free,0.0,Everyone,Tools,2016-07-30,3.0 and up
A/C REFRIGERANT CAPACITY,BUSINESS,Moderate,,,84,2.1,Free,0.0,Everyone,Business,2014-10-28,4.1 and up
A/C Universal Remote Control,TOOLS,High,,,3263,3.0,Free,0.0,Everyone,Tools,2017-05-16,3.0 and up
A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,Moderate,,,231,5.7,Paid,0.99,Everyone,Lifestyle,2017-12-24,4.3 and up
AAFP,MEDICAL,Moderate,,,63,24.0,Free,0.0,Everyone,Medical,2018-06-22,5.0 and up
AAS-IN-ASIA 2018,EVENTS,Low,,,3,11.0,Free,0.0,Everyone,Events,2018-07-04,4.1 and up
AB Anywhere Mobile Banking,FINANCE,Low,,,3,11.0,Free,0.0,Everyone,Finance,2018-07-03,4.4 and up
AB Blast Match 3,FAMILY,Moderate,,,111,48.0,Free,0.0,Everyone,Puzzle,2018-06-19,4.1 and up
AB Click2Shop,SHOPPING,More than moderate,,,454,18.0,Free,0.0,Everyone,Shopping,2018-06-26,4.1 and up
AB Crush Match 3,FAMILY,Moderate,,,96,54.0,Free,0.0,Everyone,Casual,2017-02-23,2.3 and up
AB Match,FAMILY,Low,,,9,30.0,Free,0.0,Everyone,Casual,2018-05-19,4.1 and up
AB Mobile App,HEALTH_AND_FITNESS,More than moderate,,,2105,8.2,Free,0.0,Everyone,Health & Fitness,2017-08-21,4.0.3 and up
AB Repeat Player,VIDEO_PLAYERS,More than moderate,,,1628,18.0,Free,0.0,Everyone,Video Players & Editors,2018-03-06,4.4 and up
AB Screen Recorder,TOOLS,Moderate,,,533,5.0,Free,0.0,Everyone,Tools,2017-10-02,5.0 and up
ABAI CE Scanner,FAMILY,Low,,,0,4.3,Free,0.0,Everyone,Education,2018-01-23,4.1 and up
ABC News - US & World News,NEWS_AND_MAGAZINES,High,2.069525317589157,0.06952531758915688,18976,35.0,Free,0.0,Everyone 10+,News & Magazines,2018-06-06,5.0 and up
ABC Preschool Free,EDUCATION,Very High,2.0508355999228396,0.15083559992283951,27572,25.0,Free,0.0,Everyone,Education;Education,2017-10-25,2.3 and up
ABCmouse.com,FAMILY,Very High,2.3095213293650794,0.15952132936507937,50887,91.0,Free,0.0,Everyone,Education;Education,2018-07-03,4.4 and up
ABG Master,MEDICAL,Low,,,2,1.8,Paid,0.99,Everyone,Medical,2018-08-04,4.1 and up
ABTO CY-ET1,TOOLS,Low,,,1,29.0,Free,0.0,Everyone,Tools,2017-02-06,4.0 and up
"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,High,,,3632,3.2,Free,0.0,Everyone,Tools,2017-11-13,4.0.3 and up
AC - Tips & News for Android™,NEWS_AND_MAGAZINES,High,2.226354416185666,0.12635441618566617,23292,14.0,Free,0.0,Everyone 10+,News & Magazines,2018-05-24,4.1 and up
"AC Air condition Troubleshoot,Repair,Maintenance",BOOKS_AND_REFERENCE,Moderate,,,27,3.1,Free,0.0,Everyone,Books & Reference,2018-02-07,4.0 and up
AC CE BJT Actorial,FAMILY,Low,,,1,1.4,Paid,2.0,Everyone,Education,2015-09-27,1.6 and up
AC DC Power Monitor,LIFESTYLE,Very low,,,1,1.2,Paid,3.04,Everyone,Lifestyle,2016-05-29,2.3 and up
AC Mobile Control,HOUSE_AND_HOME,More than moderate,,,1450,9.7,Free,0.0,Everyone,House & Home,2013-11-05,2.2 and up
AC REMOTE UNIVERSAL-PRO,FAMILY,More than moderate,,,402,1.7,Free,0.0,Everyone,Entertainment,2015-12-11,2.2 and up
AC Remote Control,TOOLS,More than moderate,,,472,2.0,Free,0.0,Everyone,Tools,2017-10-17,4.1 and up
AC Remote Control Simulator,FAMILY,More than moderate,,,353,2.3,Free,0.0,Everyone,Entertainment,2017-12-04,4.0.3 and up
AC Remote For LG,TOOLS,More than moderate,,,1298,3.4,Free,0.0,Everyone,Tools,2018-02-20,4.0 and up
AC Remote for Carrier - NOW FREE,TOOLS,Moderate,,,163,26.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for Daikin - NOW FREE,TOOLS,More than moderate,,,383,26.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for Haier - NOW FREE,TOOLS,More than moderate,,,336,27.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for LG - NOW FREE,TOOLS,More than moderate,,,1041,28.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for Midea - NOW FREE,TOOLS,More than moderate,,,448,26.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for O General - NOW FREE,TOOLS,More than moderate,,,274,26.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for Samsung - NOW FREE,TOOLS,More than moderate,,,566,27.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Remote for Sharp - NOW FREE,TOOLS,More than moderate,,,332,26.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AC Troubleshooter,TOOLS,Moderate,,,147,4.2,Free,0.0,Everyone,Tools,2015-01-08,3.0 and up
AC WIFI,TOOLS,Moderate,,,41,23.0,Free,0.0,Everyone,Tools,2018-06-03,2.3 and up
AC remote control mobile,TOOLS,More than moderate,,,3043,7.7,Free,0.0,Everyone,Tools,2017-06-02,4.0.3 and up
AC-BL,COMMUNICATION,Low,,,0,4.3,Free,0.0,Everyone,Communication,2018-04-20,2.1 and up
ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,Low,,,19,4.5,Paid,8.99,Everyone,Productivity,2016-11-03,4.0 and up
ACCEPT CE MARKING,PRODUCTIVITY,Very low,,,0,30.0,Free,0.0,Everyone,Productivity,2018-06-28,4.1 and up
ACE Elite,FINANCE,More than moderate,2.214169151835818,0.16416915183581848,2898,45.0,Free,0.0,Everyone,Finance,2018-05-09,4.4 and up
ACTIVEON CX & CX GOLD,VIDEO_PLAYERS,More than moderate,,,439,35.0,Free,0.0,Everyone,Video Players & Editors,2016-03-04,4.0 and up
ADMIRALTY H-Note,BUSINESS,Moderate,,,176,19.0,Free,0.0,Everyone,Business,2016-10-25,5.0 and up
ADP Mobile Solutions,BUSINESS,Very High,,,85185,29.0,Free,0.0,Everyone,Business,2018-07-17,5.0 and up
ADS-B Driver,TOOLS,Low,,,2,6.3,Paid,1.99,Everyone,Tools,2018-05-15,4.4 and up
ADWLauncher 1 EX,PERSONALIZATION,High,,,28728,2.8,Paid,2.49,Everyone,Personalization,2013-07-27,1.6 and up
"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",SHOPPING,High,,,20476,28.0,Free,0.0,Everyone,Shopping,2018-07-17,4.4 and up
AE 3D Moto 3,GAME,More than moderate,,,2588,26.0,Free,0.0,Everyone 10+,Racing,2014-12-31,2.3 and up
AE Air Hockey,SPORTS,More than moderate,,,926,7.6,Free,0.0,Everyone,Sports,2013-08-01,2.2 and up
AE Angry Chef,GAME,Moderate,,,533,39.0,Free,0.0,Everyone 10+,Action,2014-01-24,2.1 and up
AE Blackjack,GAME,More than moderate,,,1417,17.0,Free,0.0,Teen,Card,2015-11-27,2.3 and up
AE Bulletins,BOOKS_AND_REFERENCE,Low,,,14,30.0,Free,0.0,Everyone,Books & Reference,2018-07-18,4.0.3 and up
AE Checkout Plugin,SHOPPING,Moderate,,,208,0.08,Free,0.0,Everyone,Shopping,2015-02-11,2.3 and up
AE City Jump,GAME,Moderate,,,804,27.0,Free,0.0,Everyone,Action,2018-07-18,4.0 and up
AE Coin Mania : Arcade Fun,GAME,High,,,30002,29.0,Free,0.0,Teen,Casino,2018-02-08,4.0.3 and up
AE Fishing Hunter,GAME,Low,,,14,6.6,Free,0.0,Everyone,Adventure,2016-03-15,3.0 and up
AE FreeCell,GAME,Moderate,,,358,15.0,Free,0.0,Everyone,Card,2014-11-06,2.3 and up
AE GTO Racing,GAME,More than moderate,,,6988,35.0,Free,0.0,Everyone 10+,Racing,2015-09-24,Varies with device
AE Garage,AUTO_AND_VEHICLES,Low,,,64,66.0,Free,0.0,Everyone,Auto & Vehicles,2017-06-27,4.1 and up
AE Gun Ball: arcade ball games,GAME,High,,,8581,12.0,Free,0.0,Everyone,Arcade,2013-12-13,2.2 and up
AE Jewels,GAME,More than moderate,,,960,18.0,Free,0.0,Everyone,Action,2015-08-20,3.0 and up
AE Jewels 2: Island Adventures,GAME,Moderate,,,652,30.0,Free,0.0,Everyone,Action,2016-02-24,2.3 and up
AE Lucky Fishing,GAME,High,,,18277,17.0,Free,0.0,Teen,Arcade,2016-03-14,2.3 and up
AE Manager,TOOLS,Low,,,0,4.0,Free,0.0,Everyone,Tools,2015-06-15,4.0.3 and up
AE Master Moto,GAME,High,,,17876,37.0,Free,0.0,Everyone,Racing,2015-12-10,2.3 and up
AE Order,TOOLS,Low,,,19,0.31,Free,0.0,Everyone,Tools,2013-11-12,2.3 and up
AE Roundy POP,FAMILY,More than moderate,,,5262,26.0,Free,0.0,Everyone,Casual,2016-03-23,2.3 and up
AE Solitaire,GAME,More than moderate,,,1776,26.0,Free,0.0,Everyone,Card,2018-01-04,4.0.3 and up
AE Sudoku,FAMILY,More than moderate,,,2171,12.0,Free,0.0,Everyone,Puzzle,2015-07-29,2.2 and up
AE Video Poker,GAME,More than moderate,,,721,18.0,Free,0.0,Teen,Casino,2015-12-31,2.3 and up
AEE AP,PHOTOGRAPHY,Low,,,4,17.0,Free,0.0,Everyone,Photography,2018-02-07,2.2 and up
AEMET's time,WEATHER,High,,,15966,9.2,Free,0.0,Everyone,Weather,2017-07-17,2.3 and up
AF Comics Reader - Free,COMICS,Low,,,5,4.1,Free,0.0,Everyone,Comics,2017-11-10,4.1 and up
AF Hydro,HEALTH_AND_FITNESS,Moderate,,,136,15.0,Free,0.0,Everyone,Health & Fitness,2018-05-12,4.4 and up
AF Johannesburg,FAMILY,Low,,,3,11.0,Free,0.0,Everyone,Education,2017-05-02,4.1 and up
AF Legendary 2017,BUSINESS,Low,,,0,11.0,Free,0.0,Teen,Business,2017-09-30,4.1 and up
AF Link,NEWS_AND_MAGAZINES,Moderate,,,210,18.0,Free,0.0,Everyone,News & Magazines,2018-05-31,4.4 and up
AF Nutrition - Integratori,HEALTH_AND_FITNESS,Low,,,6,19.0,Free,0.0,Everyone,Health & Fitness,2018-08-02,4.1 and up
AF Our Time to Shine,BUSINESS,Low,,,0,11.0,Free,0.0,Everyone,Business,2017-07-17,4.1 and up
AF-STROKE,MEDICAL,Low,,,5,0.88,Paid,5.0,Teen,Medical,2013-12-19,2.1 and up
AF-STROKE (FREE),MEDICAL,Moderate,,,93,0.9,Free,0.0,Teen,Medical,2013-01-25,2.1 and up
"AG Contacts, Lite edition",COMMUNICATION,Moderate,,,185,3.7,Free,0.0,Everyone,Communication,2018-05-18,4.0.3 and up
"AG Contacts, Premium edition",COMMUNICATION,Low,,,88,3.7,Paid,4.99,Everyone,Communication,2018-05-18,4.0.3 and up
AG Drive 3D,GAME,Moderate,,,164,22.0,Free,0.0,Everyone,Adventure,2015-03-20,2.3.3 and up
AG EMS Tour,FAMILY,Low,,,3,62.0,Free,0.0,Everyone,Entertainment,2017-05-05,4.0 and up
AG Fast Service Automotive,AUTO_AND_VEHICLES,Low,,,5,1.7,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,4.4 and up
AG Screen Recorder,TOOLS,Low,,,7,2.7,Free,0.0,Everyone,Tools,2018-04-03,5.0 and up
AG Subway Simulator Lite,FAMILY,More than moderate,,,6738,56.0,Free,0.0,Everyone,Simulation,2018-06-08,4.1 and up
AG Subway Simulator Mobile,FAMILY,Moderate,,,623,47.0,Paid,0.99,Everyone,Simulation,2018-06-02,4.1 and up
AG Track,TOOLS,Low,,,12,8.7,Free,0.0,Everyone,Tools,2018-03-23,4.0 and up
