App,Category,Installs_category,Rating,Mean_App_Sentiment,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Philips IQon Spectral CT Fundamentals.,MEDICAL,Low,,,2,77.0,Free,0.0,Everyone,Medical,2017-09-21,4.0 and up
Space Shooter : Galaxy Attack,GAME,Very High,,,169661,40.0,Free,0.0,Everyone,Arcade,2018-08-01,4.1 and up
Podcast App: Free & Offline Podcasts by Player FM,NEWS_AND_MAGAZINES,High,,,66407,19.0,Free,0.0,Teen,News & Magazines,2018-07-25,4.0 and up
ck-modelcars Shop,SHOPPING,Moderate,,,118,6.4,Free,0.0,Everyone,Shopping,2018-06-15,5.0 and up
Ag-Pro Companies,BUSINESS,Low,,,0,45.0,Free,0.0,Everyone,Business,2018-03-06,4.4 and up
Dr. Panda Restaurant 3,FAMILY,High,2.1739835938163146,0.0739835938163144,11126,91.0,Free,0.0,Everyone,Educational;Pretend Play,2018-03-23,4.1 and up
Monitor My BP,HEALTH_AND_FITNESS,Low,,,0,4.6,Paid,5.99,Everyone,Health & Fitness,2016-11-26,4.0 and up
Hinge: Dating & Relationships,DATING,High,2.246295803096528,0.14629580309652773,7779,12.0,Free,0.0,Mature 17+,Dating,2018-08-03,5.0 and up
FN Cam,PHOTOGRAPHY,Moderate,,,181,10.0,Free,0.0,Everyone,Photography,2016-01-13,4.0.3 and up
EO SA Benefits,BUSINESS,Very low,,,0,0.51,Free,0.0,Everyone,Business,2014-08-25,2.3.3 and up
Standard Bank / Stanbic Bank,FINANCE,High,,,15247,28.0,Free,0.0,Everyone,Finance,2018-07-13,4.0.3 and up
News Minecraft.fr,NEWS_AND_MAGAZINES,More than moderate,,,881,2.3,Free,0.0,Everyone,News & Magazines,2014-01-20,1.6 and up
Super ABC! Learning games for kids! Preschool apps,FAMILY,High,,,20267,46.0,Free,0.0,Everyone,Educational;Education,2018-07-16,4.1 and up
Wallpapers CZ 75 85,PERSONALIZATION,Very low,,,0,12.0,Free,0.0,Teen,Personalization,2018-04-12,4.1 and up
2048 BTS J Hope KPop Puzzle Game,FAMILY,Low,,,17,2.4,Free,0.0,Everyone,Puzzle,2017-09-26,2.3.3 and up
Thyroid Nodules,MEDICAL,Very low,,,0,20.0,Free,0.0,Everyone,Medical,2018-07-14,4.3 and up
nds4droid,GAME,Very High,,,107778,8.8,Free,0.0,Everyone,Arcade,2016-02-12,2.3.3 and up
Girls Craft: Exploration,FAMILY,Very High,,,130689,57.0,Free,0.0,Everyone 10+,Simulation,2018-08-03,4.2 and up
Imperium CF,SPORTS,Low,,,9,3.5,Free,0.0,Everyone,Sports,2017-03-22,4.0.3 and up
Solitaire!,GAME,Very High,,,403911,23.0,Free,0.0,Everyone,Card,2018-06-24,4.1 and up
Filters for Selfie,BEAUTY,High,2.2853150352733684,0.1353150352733686,8572,25.0,Free,0.0,Everyone,Beauty,2018-05-10,4.0 and up
TETRIS Blitz,FAMILY,Very High,,,201631,96.0,Free,0.0,Everyone,Puzzle,2018-06-01,4.1 and up
Live Chat - Free Video Talk,DATING,Moderate,,,14,21.0,Free,0.0,Mature 17+,Dating,2018-08-03,4.1 and up
The Florida Trail Guide,TRAVEL_AND_LOCAL,Moderate,,,100,13.0,Free,0.0,Everyone,Travel & Local,2017-04-01,4.1 and up
DRAGON QUEST IV,FAMILY,Moderate,,,1647,16.0,Paid,14.99,Everyone,Role Playing,2017-02-28,2.3 and up
Shoot`Em Down: Shooting game,GAME,High,,,7972,88.0,Free,0.0,Teen,Action,2017-08-12,4.1 and up
CF PD,FINANCE,Low,,,4,2.7,Free,0.0,Everyone,Finance,2018-03-28,4.1 and up
Alpha Bank CY,FINANCE,Low,,,39,20.0,Free,0.0,Everyone,Finance,2018-03-20,4.3 and up
C by GE,LIFESTYLE,Moderate,,,686,6.6,Free,0.0,Everyone,Lifestyle,2018-07-11,4.3 and up
Avokiddo Emotions,FAMILY,Low,,,73,12.0,Paid,2.99,Everyone,Education;Pretend Play,2018-05-21,4.0.3 and up
stranger chat - anonymous chat,DATING,High,,,13204,6.1,Free,0.0,Mature 17+,Dating,2018-07-07,4.1 and up
Check Your Visitors on FB ?,SOCIAL,Moderate,,,40,1.5,Free,0.0,Everyone,Social,2017-02-17,4.2 and up
CS & IT Interview Questions,FAMILY,Low,,,43,3.3,Free,0.0,Everyone,Education,2018-03-27,4.2 and up
Out There Chronicles - Ep. 2,FAMILY,Low,,,144,70.0,Paid,2.99,Teen,Role Playing,2018-01-26,4.2 and up
CQ Ukraine,PRODUCTIVITY,Very low,,,0,9.1,Free,0.0,Everyone,Productivity,2018-06-25,4.1 and up
myLPG.eu,TRAVEL_AND_LOCAL,More than moderate,,,556,4.4,Free,0.0,Everyone,Travel & Local,2018-07-25,4.0 and up
Hypertension Hi blood pressure,MEDICAL,More than moderate,,,292,2.7,Free,0.0,Everyone,Medical,2018-04-16,4.0.3 and up
du View,FAMILY,More than moderate,,,935,22.0,Free,0.0,Teen,Entertainment,2018-03-26,4.3 and up
SQLite DB Reader,TOOLS,More than moderate,,,301,2.3,Free,0.0,Everyone,Tools,2017-11-28,4.0 and up
diep.io,GAME,Very High,,,347883,20.0,Free,0.0,Everyone,Action,2018-03-16,4.0.3 and up
codeSpark Academy & The Foos,FAMILY,High,,,4522,57.0,Free,0.0,Everyone,Educational;Education,2018-06-21,4.1 and up
GRE® Flashcards by Kaplan,EDUCATION,More than moderate,,,316,29.0,Free,0.0,Everyone,Education,2017-02-15,4.0 and up
Lufthansa,TRAVEL_AND_LOCAL,High,,,14544,43.0,Free,0.0,Everyone,Travel & Local,2018-07-27,4.1 and up
Offroad 4x4 Car Driving,FAMILY,High,,,26224,43.0,Free,0.0,Everyone,Simulation,2017-04-29,2.3 and up
CU SoCal Mobile Banking,FINANCE,Moderate,,,253,25.0,Free,0.0,Everyone,Finance,2018-05-02,4.0.3 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,Low,,,2,17.0,Paid,7.99,Mature 17+,Dating,2017-01-21,4.0 and up
Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,Very High,,,109756,78.0,Free,0.0,Everyone,Health & Fitness,2018-08-01,4.0.3 and up
AJ Nails Supply,SHOPPING,Low,,,1,6.6,Free,0.0,Everyone,Shopping,2016-08-15,2.3.3 and up
Room Creator Interior Design,HOUSE_AND_HOME,High,,,59660,72.0,Free,0.0,Everyone,House & Home,2017-03-14,2.3 and up
Chatime AB Rewards,FAMILY,Low,,,9,22.0,Free,0.0,Everyone,Entertainment,2018-06-22,4.2 and up
AX Player -Nougat Video Player,VIDEO_PLAYERS,High,,,15765,10.0,Free,0.0,Everyone,Video Players & Editors,2014-09-12,2.2 and up
BringGo AU & NZ,MAPS_AND_NAVIGATION,Moderate,,,440,23.0,Paid,0.99,Everyone,Maps & Navigation,2018-05-10,2.3.3 and up
SenseView BT Zephyr Sensor,TOOLS,Moderate,,,37,0.32,Free,0.0,Everyone,Tools,2015-05-15,2.2 and up
Test Server SMS FA,COMMUNICATION,Very low,,,0,1.8,Free,0.0,Everyone,Communication,2018-07-27,4.0.3 and up
TAXI DRIVER,FAMILY,High,,,7203,32.0,Free,0.0,Everyone,Simulation,2016-01-11,4.0 and up
Guns'n'Glory Premium,FAMILY,More than moderate,,,3570,21.0,Paid,2.99,Everyone 10+,Strategy,2017-09-22,2.3.3 and up
My Day - Countdown Calendar 🗓️,LIFESTYLE,High,,,49147,13.0,Free,0.0,Everyone,Lifestyle,2018-05-07,4.1 and up
LEGO® DC Mighty Micros,FAMILY,Very High,,,139545,63.0,Free,0.0,Everyone,Racing;Action & Adventure,2018-01-30,4.1 and up
FD VR Music Videos - MTV Pop and Rap in 360,FAMILY,Low,,,15,26.0,Free,0.0,Everyone,Entertainment,2017-12-19,4.4 and up
Little Big City 2,FAMILY,Very High,,,344383,30.0,Free,0.0,Everyone,Casual,2018-03-20,4.0.3 and up
IDM Internet Download Manager,PRODUCTIVITY,More than moderate,,,1322,4.2,Free,0.0,Everyone,Productivity,2016-10-25,4.2 and up
Arrayanes EC,LIFESTYLE,Low,,,2,7.9,Free,0.0,Everyone,Lifestyle,2018-06-27,4.4 and up
Chenoweth AH,MEDICAL,Low,,,1,27.0,Free,0.0,Everyone,Medical,2017-04-03,4.0.3 and up
Basket Manager 2016 Pro,SPORTS,Low,,,117,4.4,Paid,0.99,Everyone,Sports,2017-02-09,4.1 and up
Anime Manga Coloring Book,ART_AND_DESIGN,More than moderate,2.4597208412247475,0.2097208412247475,5035,11.0,Free,0.0,Everyone,Art & Design,2018-07-19,4.0 and up
Nike,SHOPPING,High,,,67071,40.0,Free,0.0,Everyone,Shopping,2018-08-01,4.4 and up
Driving Zone,GAME,High,,,51791,57.0,Free,0.0,Everyone,Racing,2018-06-06,4.1 and up
BELONG Beating Cancer Together,MEDICAL,More than moderate,2.5380075543973573,0.18800755439735703,623,20.0,Free,0.0,Teen,Medical,2018-07-29,4.3 and up
HomeWork,EDUCATION,High,2.51,0.36,16195,5.2,Free,0.0,Everyone,Education,2016-09-20,4.0 and up
CV Builder,BUSINESS,Moderate,,,203,5.9,Free,0.0,Everyone,Business,2016-09-30,2.3 and up
Scarf Fashion Designer,LIFESTYLE,High,,,16637,10.0,Free,0.0,Everyone,Lifestyle,2017-06-18,2.3 and up
Bingo Party - Free Bingo Games,GAME,High,,,155694,92.0,Free,0.0,Teen,Board,2018-07-13,4.0.3 and up
Discover Mobile,FINANCE,Very High,2.3930555555555553,0.09305555555555559,87951,68.0,Free,0.0,Everyone,Finance,2018-07-23,4.1 and up
Masha and the Bear: Good Night!,FAMILY,High,,,29155,83.0,Free,0.0,Everyone,Educational;Pretend Play,2018-07-26,4.1 and up
Super Sport Car Simulator,FAMILY,High,,,58553,50.0,Free,0.0,Everyone,Simulation,2016-12-25,2.3.3 and up
Hair saloon - Spa salon,FAMILY,Very High,,,38473,23.0,Free,0.0,Everyone,Casual;Pretend Play,2018-04-11,4.1 and up
reality.cz,HOUSE_AND_HOME,More than moderate,,,1372,5.4,Free,0.0,Everyone,House & Home,2018-02-15,4.1 and up
P Launcher Theme For Android™ 9.0,PERSONALIZATION,Moderate,,,213,28.0,Free,0.0,Everyone,Personalization,2018-05-18,4.0 and up
New Calendar,PRODUCTIVITY,High,,,25985,6.9,Free,0.0,Everyone,Productivity,2018-07-20,4.0.3 and up
Vote 4 DC,TOOLS,Low,,,46,6.1,Free,0.0,Everyone,Tools,2016-09-21,4.0.3 and up
GPS Map Free,TRAVEL_AND_LOCAL,Very High,2.33,0.33,33782,7.6,Free,0.0,Everyone,Travel & Local,2018-07-11,4.0 and up
Bridge Constructor Playground FREE,FAMILY,Very High,,,137377,30.0,Free,0.0,Everyone,Simulation,2017-04-12,4.0.3 and up
Meditation Studio,HEALTH_AND_FITNESS,Moderate,,,1026,29.0,Paid,3.99,Everyone,Health & Fitness,2018-05-15,4.3 and up
Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,More than moderate,,,5499,94.0,Free,0.0,Everyone,Health & Fitness,2018-07-23,4.1 and up
Homeopathic Medicine Finder,MEDICAL,Low,,,10,15.0,Free,0.0,Everyone,Medical,2017-11-20,4.0 and up
Family convenience store FamilyMart,LIFESTYLE,High,,,9663,19.0,Free,0.0,Everyone,Lifestyle,2018-07-16,4.4 and up
Digital Clock AW-7,TOOLS,More than moderate,,,484,2.9,Free,0.0,Everyone,Tools,2018-03-06,4.3 and up
AC Remote for LG - NOW FREE,TOOLS,More than moderate,,,1041,28.0,Free,0.0,Everyone,Tools,2018-07-30,4.2 and up
AG Subway Simulator Lite,FAMILY,More than moderate,,,6738,56.0,Free,0.0,Everyone,Simulation,2018-06-08,4.1 and up
iOBD2-CF,TOOLS,Low,,,5,21.0,Free,0.0,Everyone,Tools,2016-12-26,2.3.3 and up
Blackjack aj Poker,GAME,Low,,,8,4.2,Free,0.0,Teen,Card,2016-10-19,2.3.3 and up
DW Event,EVENTS,Low,,,9,39.0,Free,0.0,Everyone,Events,2018-05-29,4.1 and up
Oracle CX Cloud Mobile,BUSINESS,Moderate,,,48,54.0,Free,0.0,Everyone,Business,2018-07-07,4.4 and up
ES Themes -- Classic Theme,PERSONALIZATION,High,,,77609,1.9,Free,0.0,Everyone,Personalization,2015-04-24,1.6 and up
Listen and learn English in seven days,EDUCATION,More than moderate,,,1516,3.9,Free,0.0,Everyone,Education,2018-07-28,4.1 and up
Barcelona Wallpaper HD,PERSONALIZATION,Moderate,,,93,5.7,Free,0.0,Everyone,Personalization,2018-02-28,4.1 and up
Dr. Panda's Swimming Pool,FAMILY,More than moderate,,,2311,9.3,Paid,1.99,Everyone,Casual;Pretend Play,2015-01-15,4.0 and up
Big Q Car Service,MAPS_AND_NAVIGATION,Moderate,,,75,26.0,Free,0.0,Everyone,Maps & Navigation,2017-05-15,4.0.3 and up
Norwegian For Kids & Babies F,FAMILY,Very low,,,0,14.0,Paid,39.99,Everyone,Education,2015-09-24,4.0 and up
BA 3 Banjarmasin,SOCIAL,Very low,,,2,5.9,Free,0.0,Teen,Social,2018-07-28,4.4 and up
Hot Bhojpuri Video songs,FAMILY,Very High,,,28892,6.3,Free,0.0,Teen,Entertainment,2018-07-11,4.0 and up
Fairy Kingdom: World of Magic and Farming,FAMILY,High,,,129542,63.0,Free,0.0,Everyone,Strategy;Creativity,2018-07-23,4.0.3 and up
Camera V7 24 Megapixel,PHOTOGRAPHY,More than moderate,,,2480,2.5,Free,0.0,Everyone,Photography,2018-08-01,4.1 and up
Sam.BN,TOOLS,Low,,,83,2.0,Free,0.0,Everyone,Tools,2015-03-27,4.0.3 and up
Photo Editor 2018,BEAUTY,Moderate,,,134,17.0,Free,0.0,Everyone,Beauty,2018-03-01,4.0.3 and up
Everlance: Free Mileage Log,FINANCE,More than moderate,,,7514,14.0,Free,0.0,Everyone,Finance,2018-07-31,4.4 and up
FL Racing Manager 2015 Pro,SPORTS,Moderate,,,656,22.0,Paid,0.99,Everyone,Sports,2016-03-12,3.0 and up
Ao Oni2,GAME,High,,,21223,48.0,Free,0.0,Teen,Adventure,2018-04-20,4.1 and up
GS SHOP,SHOPPING,Very High,2.0412719298245614,0.1412719298245614,44255,15.0,Free,0.0,Everyone,Shopping,2018-08-03,4.1 and up
Cardio Z,MEDICAL,Low,,,24,10.0,Paid,5.99,Everyone,Medical,2017-03-13,4.4 and up
"Borneo Bible, BM Bible",BOOKS_AND_REFERENCE,Moderate,,,659,5.0,Free,0.0,Everyone,Books & Reference,2017-08-28,4.0 and up
DC Legends: Battle for Justice,FAMILY,Very High,,,355613,59.0,Free,0.0,Teen,Role Playing,2018-08-02,4.4 and up
Paramedic Protocol Provider,MEDICAL,Moderate,,,171,20.0,Paid,10.0,Everyone 10+,Medical,2017-09-21,4.1 and up
Makeup Editor -Beauty Photo Editor & Selfie Camera,PHOTOGRAPHY,High,,,3378,30.0,Free,0.0,Mature 17+,Photography,2018-07-25,4.1 and up
Taco Bell,LIFESTYLE,High,,,28140,16.0,Free,0.0,Everyone,Lifestyle,2018-07-30,4.2 and up
CL-App,MEDICAL,Low,,,6,5.2,Free,0.0,Everyone,Medical,2017-02-17,4.0 and up
3G DZ Configuration,COMMUNICATION,More than moderate,,,488,2.5,Free,0.0,Everyone,Communication,2015-11-19,3.0 and up
BG Advisor™,TOOLS,Low,,,7,5.6,Free,0.0,Everyone,Tools,2017-01-10,4.0.3 and up
Khan Academy,EDUCATION,Very High,,,85375,21.0,Free,0.0,Everyone,Education,2018-07-27,4.1 and up
Pencil Sketch Drawing,ART_AND_DESIGN,Moderate,,,136,4.6,Free,0.0,Everyone,Art & Design,2018-07-12,2.3 and up
Add-On: bq (c),PRODUCTIVITY,Low,,,17,1.2,Free,0.0,Everyone,Productivity,2015-05-19,4.0 and up
DN eAvis,NEWS_AND_MAGAZINES,Moderate,,,61,4.1,Free,0.0,Everyone,News & Magazines,2017-02-01,4.1 and up
Strætó.is,MAPS_AND_NAVIGATION,More than moderate,,,742,15.0,Free,0.0,Everyone,Maps & Navigation,2018-07-09,4.1 and up
My Vodacom SA,COMMUNICATION,Very High,,,25021,61.0,Free,0.0,Everyone,Communication,2018-06-26,4.3 and up
Pacific Navy Fighter C.E. (AS),GAME,High,,,11379,20.0,Free,0.0,Everyone 10+,Arcade,2018-07-29,4.0.3 and up
