App,Category,Size_in_MB,Type,Price,Content Rating,Genres,Last Updated,Android Ver
ASOS,SHOPPING,22.0,Free,0.0,Everyone,Shopping,2018-07-30,4.4 and up
Babbel – Learn Spanish,EDUCATION,11.0,Free,0.0,Everyone,Education,2018-07-30,4.4 and up
Dragon Hills,GAME,66.0,Free,0.0,Everyone 10+,Action,2017-10-12,4.1 and up
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,12.0,Free,0.0,Everyone,Art & Design,2018-03-20,4.0.3 and up
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,22.0,Free,0.0,Everyone,Photography,2018-07-06,4.4 and up
Door Lock Screen,PERSONALIZATION,3.9,Free,0.0,Everyone,Personalization,2018-07-28,4.0 and up
All Language Translator Free,BOOKS_AND_REFERENCE,2.1,Free,0.0,Everyone,Books & Reference,2018-07-29,4.0.3 and up
Granny,GAME,59.0,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
ACE Elite,FINANCE,45.0,Free,0.0,Everyone,Finance,2018-05-09,4.4 and up
A Word A Day,FAMILY,2.9,Free,0.0,Everyone,Education,2017-01-05,4.0 and up
Cooking Fever,GAME,82.0,Free,0.0,Everyone,Arcade,2018-07-12,4.0.3 and up
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",PARENTING,24.0,Free,0.0,Everyone,Parenting;Music & Video,2018-07-24,5.0 and up
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,48.0,Free,0.0,Everyone,Health & Fitness,2018-07-02,4.4 and up
Google Primer,BUSINESS,18.0,Free,0.0,Everyone,Business,2018-06-26,4.1 and up
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,35.0,Free,0.0,Everyone,Health & Fitness,2018-07-24,4.0 and up
Golfshot: Golf GPS + Tee Times,SPORTS,25.0,Free,0.0,Everyone,Sports,2018-07-11,4.1 and up
HTC Social Plugin - Facebook,SOCIAL,2.8,Free,0.0,Mature 17+,Social,2016-06-08,4.4 and up
HD Video Player,VIDEO_PLAYERS,2.9,Free,0.0,Everyone,Video Players & Editors,2018-07-25,4.1 and up
Garden Coloring Book,ART_AND_DESIGN,33.0,Free,0.0,Everyone,Art & Design,2017-09-20,3.0 and up
GoBank,FINANCE,12.0,Free,0.0,Everyone,Finance,2018-06-01,4.1 and up
Hello Kitty Nail Salon,FAMILY,24.0,Free,0.0,Everyone,Casual;Pretend Play,2018-04-17,4.1 and up
Asphalt 8: Airborne,GAME,92.0,Free,0.0,Teen,Racing,2018-07-04,4.0.3 and up
Browser 4G,COMMUNICATION,6.6,Free,0.0,Everyone,Communication,2018-06-19,4.0.3 - 7.1.1
Dunkin' Donuts,FOOD_AND_DRINK,66.0,Free,0.0,Everyone,Food & Drink,2018-06-20,4.4 and up
Asana: organize team projects,BUSINESS,10.0,Free,0.0,Everyone,Business,2018-07-26,5.0 and up
AC - Tips & News for Android™,NEWS_AND_MAGAZINES,14.0,Free,0.0,Everyone 10+,News & Magazines,2018-05-24,4.1 and up
Hideman VPN,TOOLS,9.6,Free,0.0,Everyone,Tools,2018-07-24,4.0 and up
Equestria Girls,FAMILY,53.0,Free,0.0,Everyone,Role Playing;Action & Adventure,2016-07-22,4.0 and up
Dr. Panda & Toto's Treehouse,FAMILY,9.5,Paid,3.99,Everyone,Casual;Pretend Play,2014-12-09,4.0 and up
Crew - Free Messaging and Scheduling,BUSINESS,48.0,Free,0.0,Everyone,Business,2018-07-20,4.0.3 and up
"2Date Dating App, Love and matching",DATING,8.1,Free,0.0,Mature 17+,Dating,2018-07-26,4.0.3 and up
Baby Name Together,PARENTING,24.0,Free,0.0,Everyone,Parenting,2018-08-06,5.0 and up
Age Calculator,TOOLS,3.3,Free,0.0,Everyone,Tools,2017-07-25,4.0.3 and up
Cameringo Lite. Filters Camera,PHOTOGRAPHY,5.7,Free,0.0,Everyone,Photography,2018-06-11,4.0 and up
ConnectLine,MEDICAL,4.2,Free,0.0,Everyone,Medical,2016-09-12,2.3.3 and up
"Ebates: Cash Back, Coupons, Rewards & Savings",SHOPPING,31.0,Free,0.0,Everyone,Shopping,2018-08-03,4.4 and up
Easy Healthy Recipes,FOOD_AND_DRINK,7.2,Free,0.0,Everyone,Food & Drink,2018-07-20,4.0 and up
A Call From Santa Claus!,FAMILY,11.0,Free,0.0,Everyone,Entertainment,2016-12-04,4.0.3 and up
Airport + Flight Tracker Radar,TRAVEL_AND_LOCAL,8.5,Free,0.0,Everyone,Travel & Local,2015-07-14,4.0 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,56.0,Free,0.0,Mature 17+,Dating,2018-08-01,4.1 and up
Free Live Talk-Video Call,DATING,4.5,Free,0.0,Mature 17+,Dating,2018-07-05,4.0.3 and up
1LINE – One Line with One Touch,GAME,10.0,Free,0.0,Everyone,Board,2018-08-03,4.1 and up
H Pack,LIFESTYLE,1.7,Free,0.0,Everyone,Lifestyle,2016-12-17,4.0.3 and up
Dude Perfect 2,GAME,70.0,Free,0.0,Everyone,Action,2017-04-12,4.0.3 and up
Candy Day,FAMILY,48.0,Free,0.0,Everyone,Casual;Brain Games,2018-08-03,4.0 and up
AP Mobile - Breaking News,NEWS_AND_MAGAZINES,4.6,Free,0.0,Everyone 10+,News & Magazines,2017-05-25,4.0 and up
Akinator,FAMILY,55.0,Free,0.0,Teen,Entertainment,2018-06-11,4.4 and up
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,24.0,Free,0.0,Everyone,Art & Design,2018-07-31,4.1 and up
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,6.9,Free,0.0,Everyone,Health & Fitness,2018-07-24,4.1 and up
Binaural Beats Meditation,LIBRARIES_AND_DEMO,95.0,Free,0.0,Everyone,Libraries & Demo,2018-06-08,4.0.3 and up
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,19.0,Free,0.0,Everyone,Travel & Local,2018-07-31,Varies with device
"Hide Something - Photo, Video",SOCIAL,5.3,Free,0.0,Everyone,Social,2018-06-13,4.1 and up
Branch,FINANCE,3.8,Free,0.0,Everyone,Finance,2018-07-23,4.0 and up
Fresh EBT - Food Stamp Balance,FINANCE,7.4,Free,0.0,Everyone,Finance,2018-07-24,4.0.3 and up
Discover Mobile,FINANCE,68.0,Free,0.0,Everyone,Finance,2018-07-23,4.1 and up
CBS News,NEWS_AND_MAGAZINES,23.0,Free,0.0,Everyone 10+,News & Magazines,2018-06-29,4.1 and up
Graphing Calculator,TOOLS,5.3,Free,0.0,Everyone,Tools,2016-04-01,2.3 and up
Amazon Prime Video,ENTERTAINMENT,24.0,Free,0.0,Teen,Entertainment,2018-08-02,4.1 and up
DC Super Hero Girls™,FAMILY,95.0,Free,0.0,Everyone,Action;Action & Adventure,2018-06-29,4.0 and up
Blood Pressure(BP) Diary,MEDICAL,8.4,Free,0.0,Everyone,Medical,2018-07-18,4.0.3 and up
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,27.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,4.2 and up
GPS Speedometer and Odometer,MAPS_AND_NAVIGATION,3.3,Free,0.0,Everyone,Maps & Navigation,2018-08-03,4.1 and up
CALCU™ Stylish Calculator Free,TOOLS,11.0,Free,0.0,Everyone,Tools,2018-07-07,4.1 and up
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,15.0,Free,0.0,Everyone,Health & Fitness,2018-07-26,5.0 and up
Fantasy Football,SPORTS,23.0,Free,0.0,Everyone,Sports,2018-08-02,5.0 and up
Davis's Drug Guide for Nurses,MEDICAL,44.0,Free,0.0,Everyone,Medical,2018-07-13,4.4 and up
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,27.0,Free,0.0,Everyone,House & Home,2018-05-29,4.4 and up
DashClock Widget,PERSONALIZATION,1.9,Free,0.0,Everyone,Personalization,2016-05-11,4.2 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,27.0,Free,0.0,Mature 17+,Dating,2018-07-23,4.1 and up
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,7.4,Free,0.0,Everyone,Education,2018-03-09,4.2 and up
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,16.0,Free,0.0,Teen,Auto & Vehicles,2018-07-11,5.0 and up
Flowers Live Wallpaper,PERSONALIZATION,3.3,Free,0.0,Everyone,Personalization,2017-10-27,4.1 and up
"High-Speed Camera (GIF,Burst)",PHOTOGRAPHY,10.0,Free,0.0,Everyone,Photography,2018-02-11,4.0.3 and up
Baby Panda Musical Genius,PARENTING,37.0,Free,0.0,Everyone,Parenting;Music & Video,2018-06-15,4.0.3 and up
FanDuel: Daily Fantasy Sports,SPORTS,57.0,Free,0.0,Mature 17+,Sports,2018-08-06,5.0 and up
Experian - Free Credit Report,FINANCE,46.0,Free,0.0,Everyone,Finance,2018-07-12,4.2 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,3.1,Free,0.0,Mature 17+,Dating,2018-08-04,4.0 and up
Golfshot Plus: Golf GPS,SPORTS,25.0,Paid,29.99,Everyone,Sports,2018-07-11,4.1 and up
Dog Run - Pet Dog Simulator,FAMILY,24.0,Free,0.0,Everyone,Simulation;Action & Adventure,2018-05-22,4.1 and up
EyeCloud,LIBRARIES_AND_DEMO,55.0,Free,0.0,Everyone,Libraries & Demo,2018-08-02,4.4 and up
"Even - organize your money, get paid early",FINANCE,21.0,Free,0.0,Everyone,Finance,2018-08-02,5.0 and up
Game of Thrones: Conquest™,GAME,97.0,Free,0.0,Teen,Strategy,2018-08-03,6.0 and up
E*TRADE Mobile,FINANCE,58.0,Free,0.0,Everyone,Finance,2018-08-02,4.4 and up
"AVG Cleaner – Speed, Battery & Memory Booster",PRODUCTIVITY,24.0,Free,0.0,Everyone,Productivity,2018-06-14,4.1 and up
Battlelands Royale,GAME,61.0,Free,0.0,Everyone 10+,Action,2018-07-16,4.1 and up
Color by Number - Draw Sandbox Pixel Art,FAMILY,15.0,Free,0.0,Everyone,Entertainment,2018-07-27,4.1 and up
Grubhub: Food Delivery,FOOD_AND_DRINK,35.0,Free,0.0,Everyone,Food & Drink,2018-08-02,5.0 and up
All Mental disorders,MEDICAL,11.0,Free,0.0,Everyone,Medical,2017-07-07,4.0.3 and up
BZWBK24 mobile,FINANCE,39.0,Free,0.0,Everyone,Finance,2018-06-18,4.1 and up
Drawing for Kids Learning Games for Toddlers age 3,FAMILY,43.0,Free,0.0,Everyone,Educational;Education,2018-03-21,4.1 and up
Etsy: Handmade & Vintage Goods,SHOPPING,15.0,Free,0.0,Teen,Shopping,2018-08-03,4.1 and up
Comptia A+ 220-901 & 220-902,FAMILY,5.7,Free,0.0,Everyone,Education,2018-04-19,4.1 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,2.4,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,4.0 and up
Dairy Queen,FOOD_AND_DRINK,43.0,Free,0.0,Everyone,Food & Drink,2018-07-25,4.1 and up
Best Wallpapers QHD,PERSONALIZATION,5.1,Free,0.0,Teen,Personalization,2018-03-17,4.0.3 and up
ConvertPad - Unit Converter,TOOLS,4.3,Free,0.0,Everyone,Tools,2017-06-18,4.2 and up
GUNSHIP BATTLE: Helicopter 3D,GAME,75.0,Free,0.0,Teen,Action,2018-08-01,4.0.3 and up
Accounting App - Zoho Books,BUSINESS,8.5,Free,0.0,Everyone,Business,2018-08-02,4.1 and up
Flashlight - Torch LED Light,TOOLS,8.5,Free,0.0,Everyone,Tools,2018-07-07,4.1 and up
Diary with lock password,LIFESTYLE,9.7,Free,0.0,Everyone,Lifestyle,2017-11-01,4.0.3 and up
"CM Flashlight (Compass, SOS)",TOOLS,1.8,Free,0.0,Everyone,Tools,2018-05-25,2.3 and up
Dominos Game ✔️,FAMILY,16.0,Free,0.0,Everyone,Board;Brain Games,2018-07-05,4.1 and up
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,7.5,Free,0.0,Everyone,Lifestyle,2018-04-26,4.0 and up
GoPro (formerly Capture),PHOTOGRAPHY,47.0,Free,0.0,Everyone,Photography,2018-05-24,5.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,2.9,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,4.1 and up
"FOX Sports: Live Streaming, Scores & News",SPORTS,82.0,Free,0.0,Teen,Sports,2018-08-02,5.0 and up
Educational Games 4 Kids,FAMILY,39.0,Free,0.0,Everyone,Educational;Education,2018-04-03,4.1 and up
Backgrounds (HD Wallpapers),PERSONALIZATION,3.0,Free,0.0,Teen,Personalization,2017-08-09,4.0 and up
Hacker's Keyboard,PRODUCTIVITY,1.2,Free,0.0,Everyone,Productivity,2016-12-11,2.2 and up
Asteroids 3D live wallpaper,PERSONALIZATION,6.4,Free,0.0,Everyone,Personalization,2018-07-24,4.4 and up
Beautiful Widgets Free,PERSONALIZATION,14.0,Free,0.0,Everyone,Personalization,2016-10-20,2.3 and up
Checkers ✔️,FAMILY,19.0,Free,0.0,Everyone,Board;Brain Games,2018-07-24,4.1 and up
Golf Channel,SPORTS,88.0,Free,0.0,Everyone,Sports,2018-05-30,4.1 and up
AutoCAD - DWG Viewer & Editor,PRODUCTIVITY,24.0,Free,0.0,Everyone,Productivity,2018-07-23,4.4 and up
DraftKings - Daily Fantasy Sports,SPORTS,41.0,Free,0.0,Adults only 18+,Sports,2018-07-24,4.4 and up
Healthy Recipes Free,FOOD_AND_DRINK,17.0,Free,0.0,Everyone,Food & Drink,2017-10-18,4.0.3 and up
DSLR Camera Hd Ultra Professional,PHOTOGRAPHY,4.5,Free,0.0,Everyone,Photography,2018-06-27,4.0.3 and up
Four In A Line Free,GAME,11.0,Free,0.0,Everyone,Board,2018-06-11,4.1 and up
Baby puzzles,FAMILY,19.0,Free,0.0,Everyone,Educational;Education,2018-07-12,4.0.3 and up
Bubble Shooter Genies,GAME,41.0,Free,0.0,Everyone,Casual,2018-06-04,4.0.3 and up
COOKING MAMA Let's Cook!,FAMILY,59.0,Free,0.0,Everyone,Educational;Pretend Play,2018-07-26,4.1 and up
Dr. Panda Town: Vacation,FAMILY,78.0,Free,0.0,Everyone,Education;Pretend Play,2018-07-24,4.1 and up
Citibanamex Movil,FINANCE,42.0,Free,0.0,Everyone,Finance,2018-07-27,5.0 and up
FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,16.0,Free,0.0,Everyone,Lifestyle,2018-05-31,7.0 and up
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,14.0,Free,0.0,Everyone,Travel & Local,2018-08-06,5.0 and up
Fraction Calculator Plus Free,TOOLS,11.0,Free,0.0,Everyone,Tools,2018-07-15,Varies with device
Extreme Car Driving Simulator,GAME,52.0,Free,0.0,Everyone,Racing,2018-05-03,4.0 and up
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,6.1,Free,0.0,Everyone,Books & Reference,2018-07-19,4.2 and up
Ebook Reader,BOOKS_AND_REFERENCE,37.0,Free,0.0,Everyone,Books & Reference,2018-06-25,4.0 and up
Banfield Pet Health Tracker,MEDICAL,5.9,Free,0.0,Everyone,Medical,2016-10-17,4.0 and up
EyeEm - Camera & Photo Filter,PHOTOGRAPHY,44.0,Free,0.0,Everyone,Photography,2018-07-14,4.0.3 and up
Candy Crush Saga,GAME,74.0,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Easy Origami Ideas,ART_AND_DESIGN,11.0,Free,0.0,Everyone,Art & Design,2018-01-06,4.1 and up
All Email Providers,COMMUNICATION,7.3,Free,0.0,Everyone,Communication,2018-04-03,4.1 and up
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,19.0,Free,0.0,Everyone,Health & Fitness,2018-07-16,5.0 and up
Banorte Movil,FINANCE,65.0,Free,0.0,Everyone,Finance,2018-06-09,4.4 and up
HD Widgets,PERSONALIZATION,26.0,Paid,0.99,Everyone,Personalization,2016-12-07,4.4 and up
English with Lingualeo,EDUCATION,27.0,Free,0.0,Everyone,Education,2018-07-20,4.1 and up
File Manager -- Take Command of Your Files Easily,TOOLS,7.6,Free,0.0,Everyone,Tools,2018-08-03,5.0 and up
GPS Status & Toolbox,TRAVEL_AND_LOCAL,4.1,Free,0.0,Everyone,Travel & Local,2018-06-13,4.0 and up
Entel,LIFESTYLE,55.0,Free,0.0,Everyone,Lifestyle,2018-07-26,4.0.3 and up
Free Dating Hook Up Messenger,DATING,21.0,Free,0.0,Mature 17+,Dating,2017-01-27,4.2 and up
Etta Homes,LIFESTYLE,15.0,Free,0.0,Everyone,Lifestyle,2018-07-26,5.0 and up
DU Browser—Browse fast & fun,COMMUNICATION,4.7,Free,0.0,Everyone,Communication,2016-04-01,4.0 and up
Frozen Free Fall,FAMILY,37.0,Free,0.0,Everyone,Puzzle;Action & Adventure,2018-07-27,4.2 and up
FreshBooks Classic,BUSINESS,26.0,Free,0.0,Everyone,Business,2018-04-18,4.2 and up
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,6.0,Free,0.0,Everyone,Sports,2018-08-03,4.4 and up
Babbel – Learn Languages,FAMILY,21.0,Free,0.0,Everyone,Education,2018-07-30,4.4 and up
British Airways,TRAVEL_AND_LOCAL,51.0,Free,0.0,Everyone,Travel & Local,2018-07-24,4.4 and up
GO Notifier,COMMUNICATION,0.68,Free,0.0,Everyone,Communication,2014-07-06,2.0 and up
Flickr,PHOTOGRAPHY,16.0,Free,0.0,Mature 17+,Photography,2018-07-11,4.4 and up
FilterGrid - Cam&Photo Editor,PHOTOGRAPHY,9.6,Free,0.0,Everyone,Photography,2017-03-15,4.0 and up
Doctor Pets,FAMILY,21.0,Free,0.0,Everyone,Educational;Education,2018-07-26,4.1 and up
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,21.0,Free,0.0,Everyone,Beauty,2018-07-12,4.0.3 and up
"Free TV Shows App:News, TV Series, Episode, Movies",NEWS_AND_MAGAZINES,11.0,Free,0.0,Teen,News & Magazines,2018-08-02,4.1 and up
Chapters: Interactive Stories,GAME,96.0,Free,0.0,Mature 17+,Role Playing,2018-08-02,4.3 and up
Diary with lock,LIFESTYLE,4.4,Free,0.0,Everyone,Lifestyle,2018-06-30,4.1 and up
Family Dollar,SHOPPING,21.0,Free,0.0,Everyone,Shopping,2018-07-23,4.1 and up
Blogger,SOCIAL,2.7,Free,0.0,Mature 17+,Social,2016-02-29,2.1 and up
Dog Sim Online: Raise a Family,FAMILY,74.0,Free,0.0,Teen,Simulation,2018-04-22,4.0 and up
Baseball Boy!,GAME,78.0,Free,0.0,Everyone,Arcade,2018-07-27,4.1 and up
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,6.1,Free,0.0,Everyone,Communication,2018-07-31,4.0 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,7.9,Free,0.0,Mature 17+,Dating,2018-07-10,4.0.3 and up
Coloring & Learn,FAMILY,51.0,Free,0.0,Everyone,Educational;Creativity,2018-07-17,4.0.3 and up
Chakra Cleansing,LIBRARIES_AND_DEMO,99.0,Free,0.0,Everyone,Libraries & Demo,2018-08-02,4.0.3 and up
Baby Monitor,PARENTING,5.2,Free,0.0,Everyone,Parenting,2018-03-30,4.1 and up
