App,Category,Size_in_MB,Type,Price,Content Rating,Genres,Last Updated,Android Ver
ARY NEWS URDU,NEWS_AND_MAGAZINES,9.7,Free,0.0,Everyone,News & Magazines,2018-07-25,4.1 and up
Calculator with Percent (Free),TOOLS,7.4,Free,0.0,Everyone,Tools,2017-11-18,4.1 and up
HauteLook,SHOPPING,7.3,Free,0.0,Everyone,Shopping,2018-07-13,4.4 and up
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,53.0,Free,0.0,Everyone,Photography,2018-07-31,4.1 and up
"GPS Speedometer, Distance Meter",MAPS_AND_NAVIGATION,5.4,Free,0.0,Everyone,Maps & Navigation,2018-07-31,4.0 and up
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,12.0,Free,0.0,Teen,Health & Fitness,2018-05-17,4.2 and up
Anime Manga Coloring Book,ART_AND_DESIGN,11.0,Free,0.0,Everyone,Art & Design,2018-07-19,4.0 and up
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,23.0,Free,0.0,Everyone,Entertainment,2018-06-15,4.4 and up
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,28.0,Free,0.0,Everyone,Libraries & Demo,2018-07-13,5.0 and up
Animal Planet GO,ENTERTAINMENT,9.6,Free,0.0,Teen,Entertainment,2018-07-24,4.1 and up
1800 Contacts - Lens Store,MEDICAL,26.0,Free,0.0,Everyone,Medical,2018-07-27,5.0 and up
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,11.0,Free,0.0,Everyone 10+,Lifestyle,2018-06-25,4.0.3 and up
GPS Map Free,TRAVEL_AND_LOCAL,7.6,Free,0.0,Everyone,Travel & Local,2018-07-11,4.0 and up
Dropbox,PRODUCTIVITY,61.0,Free,0.0,Everyone,Productivity,2018-08-01,Varies with device
"Candy selfie - photo editor, live filter camera",PHOTOGRAPHY,26.0,Free,0.0,Everyone,Photography,2018-08-06,4.0.3 and up
Baby Panda Learns Shapes,PARENTING,42.0,Free,0.0,Everyone,Parenting;Education,2018-06-21,4.0.3 and up
Angry Birds Rio,GAME,46.0,Free,0.0,Everyone,Arcade,2018-07-03,4.1 and up
Buzz Launcher-Smart&Free Theme,PERSONALIZATION,13.0,Free,0.0,Everyone,Personalization,2017-11-13,4.0.3 and up
DreamWorks Friends,FAMILY,48.0,Free,0.0,Everyone,Role Playing;Pretend Play,2017-08-04,4.3 and up
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,17.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,4.2 and up
7 Day Food Journal Challenge,LIFESTYLE,14.0,Free,0.0,Teen,Lifestyle,2017-03-08,4.0.3 and up
Fashion in Vogue,LIFESTYLE,6.8,Free,0.0,Everyone,Lifestyle,2016-09-27,4.3 and up
Brightest Flashlight Free ®,TOOLS,3.8,Free,0.0,Everyone,Tools,2017-10-27,4.2 and up
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,41.0,Free,0.0,Everyone,Education,2018-07-25,4.1 and up
Goal Live Scores,SPORTS,35.0,Free,0.0,Everyone,Sports,2018-06-11,4.0.3 and up
ChatVideo Meet new people,DATING,20.0,Free,0.0,Mature 17+,Dating,2018-05-31,4.0 and up
ColorSnap® Visualizer,HOUSE_AND_HOME,77.0,Free,0.0,Everyone,House & Home,2018-06-29,4.0.3 and up
Beautiful Widgets Pro,PERSONALIZATION,14.0,Paid,2.49,Everyone,Personalization,2016-08-24,2.3 and up
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,31.0,Free,0.0,Everyone,Health & Fitness,2018-07-16,4.1 and up
Barbie™ Fashion Closet,FAMILY,85.0,Free,0.0,Everyone,Casual;Creativity,2018-07-30,4.1 and up
DroidAdmin for Android - Advice,EVENTS,2.8,Free,0.0,Everyone,Events,2018-05-29,4.0 and up
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,7.5,Free,0.0,Everyone,House & Home,2018-08-03,5.0 and up
Clash of Clans,GAME,98.0,Free,0.0,Everyone 10+,Strategy,2018-07-15,4.1 and up
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,31.0,Free,0.0,Mature 17+,Dating,2018-07-03,4.1 and up
Colorful Glitter Neon Butterfly Keyboard Theme,PERSONALIZATION,9.8,Free,0.0,Everyone,Personalization,2018-07-25,4.0.3 and up
3D Live Neon Weed Launcher,PERSONALIZATION,21.0,Free,0.0,Mature 17+,Personalization,2018-06-26,4.0.3 and up
GS SHOP,SHOPPING,15.0,Free,0.0,Everyone,Shopping,2018-08-03,4.1 and up
Fallout Shelter,FAMILY,25.0,Free,0.0,Teen,Simulation,2018-06-11,4.1 and up
Dr. Panda Restaurant 3,FAMILY,91.0,Free,0.0,Everyone,Educational;Pretend Play,2018-03-23,4.1 and up
Anthem BC Anywhere,MEDICAL,24.0,Free,0.0,Everyone,Medical,2018-07-27,4.4 and up
Happy Fruits Bomb - Cube Blast,FAMILY,20.0,Free,0.0,Everyone,Casual;Brain Games,2018-02-01,4.0.3 and up
Guns of Glory,GAME,77.0,Free,0.0,Everyone 10+,Strategy,2018-07-31,4.0.3 and up
Homestyler Interior Design & Decorating Ideas,LIFESTYLE,29.0,Free,0.0,Everyone,Lifestyle,2018-08-02,4.1 and up
Dresses Ideas & Fashions +3000,BEAUTY,8.2,Free,0.0,Mature 17+,Beauty,2017-03-01,1.6 and up
BLK - Swipe. Match. Chat.,DATING,24.0,Free,0.0,Mature 17+,Dating,2018-07-25,4.4 and up
Horses Live Wallpaper,PERSONALIZATION,7.1,Free,0.0,Everyone,Personalization,2018-05-22,4.1 and up
CVS Caremark,MEDICAL,10.0,Free,0.0,Everyone,Medical,2018-07-28,4.4 and up
Betterment,FINANCE,11.0,Free,0.0,Everyone,Finance,2018-08-03,5.0 and up
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.2,Free,0.0,Everyone,Books & Reference,2018-03-27,4.1 and up
Bubble Shooter,FAMILY,20.0,Free,0.0,Everyone,Puzzle;Brain Games,2018-01-09,2.3 and up
Be A Legend: Soccer,SPORTS,21.0,Free,0.0,Everyone,Sports,2015-08-24,3.0 and up
Angry Birds Classic,GAME,97.0,Free,0.0,Everyone,Arcade,2018-05-24,4.1 and up
Financial Times,NEWS_AND_MAGAZINES,8.2,Free,0.0,Everyone 10+,News & Magazines,2018-08-03,4.4 and up
Hinge: Dating & Relationships,DATING,12.0,Free,0.0,Mature 17+,Dating,2018-08-03,5.0 and up
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,39.0,Free,0.0,Everyone,Health & Fitness,2018-07-23,4.2 and up
Blogaway for Android (Blogger),SOCIAL,4.1,Free,0.0,Teen,Social,2018-05-31,4.0.3 and up
H TV,ENTERTAINMENT,5.6,Free,0.0,Everyone,Entertainment,2018-07-05,2.3.3 and up
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,23.0,Free,0.0,Everyone,Health & Fitness,2018-08-01,5.0 and up
Golden Launcher,PERSONALIZATION,12.0,Free,0.0,Everyone,Personalization,2018-07-31,4.2 and up
Anger of stick 5 : zombie,GAME,23.0,Free,0.0,Teen,Action,2018-08-03,2.3 and up
Clash Royale,GAME,97.0,Free,0.0,Everyone 10+,Strategy,2018-06-27,4.1 and up
CheckPoints 🏆 Rewards App,SHOPPING,25.0,Free,0.0,Everyone,Shopping,2018-06-21,4.3 and up
Content Transfer,PRODUCTIVITY,7.2,Free,0.0,Everyone,Productivity,2018-06-28,4.0.3 and up
Amazon Shopping,SHOPPING,42.0,Free,0.0,Teen,Shopping,2018-07-31,4.4 and up
Bualuang mBanking,FINANCE,10.0,Free,0.0,Everyone,Finance,2018-07-16,4.0.3 and up
Allegiant,TRAVEL_AND_LOCAL,21.0,Free,0.0,Everyone,Travel & Local,2018-07-12,4.4 and up
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,58.0,Free,0.0,Everyone,Travel & Local,2018-06-09,5.0 and up
All Social Networks,SOCIAL,1.5,Free,0.0,Everyone,Social,2018-05-21,4.0 and up
95Live -SG#1 Live Streaming App,DATING,15.0,Free,0.0,Teen,Dating,2018-08-01,4.2 and up
DIY On A Budget,HOUSE_AND_HOME,8.3,Free,0.0,Teen,House & Home,2018-02-18,4.1 and up
Basketball Stars,SPORTS,45.0,Free,0.0,Everyone,Sports,2018-07-14,4.0.3 and up
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,44.0,Free,0.0,Mature 17+,Dating,2018-08-02,4.1 and up
HTC Sense Input-AR,TOOLS,2.7,Free,0.0,Everyone,Tools,2014-04-22,4.1 and up
Apartments.com Rental Search,HOUSE_AND_HOME,16.0,Free,0.0,Everyone,House & Home,2018-07-16,4.4 and up
Freeme Launcher—Stylish Theme,PERSONALIZATION,7.4,Free,0.0,Everyone,Personalization,2017-01-22,4.1 and up
Baby Panda Care,FAMILY,49.0,Free,0.0,Everyone,Educational;Pretend Play,2018-06-15,4.0.3 and up
Galactic Core Free Wallpaper,PERSONALIZATION,0.83,Free,0.0,Everyone,Personalization,2014-05-01,2.1 and up
ExDialer - Dialer & Contacts,COMMUNICATION,2.7,Free,0.0,Everyone,Communication,2017-03-05,2.1 and up
ASUS Quick Memo,PRODUCTIVITY,1.6,Free,0.0,Everyone,Productivity,2018-04-11,5.0 - 8.0
10 Best Foods for You,HEALTH_AND_FITNESS,3.8,Free,0.0,Everyone 10+,Health & Fitness,2017-02-17,2.3.3 and up
Homework Planner,EDUCATION,1.2,Free,0.0,Everyone,Education,2015-01-11,4.0 and up
Daniel Tiger for Parents,PARENTING,28.0,Free,0.0,Everyone,Parenting;Music & Video,2018-03-19,4.4 and up
Dino War: Rise of Beasts,GAME,81.0,Free,0.0,Teen,Strategy,2018-08-01,4.1 and up
Calendar Widget Month + Agenda,PRODUCTIVITY,1.9,Free,0.0,Everyone,Productivity,2018-05-31,4.0.3 and up
ABCmouse.com,FAMILY,91.0,Free,0.0,Everyone,Education;Education,2018-07-03,4.4 and up
Fast Scanner : Free PDF Scan,BUSINESS,14.0,Free,0.0,Everyone,Business,2018-07-11,4.1 and up
Citi Mobile®,FINANCE,46.0,Free,0.0,Everyone,Finance,2018-07-31,4.4 and up
Apk Installer,LIBRARIES_AND_DEMO,0.29,Free,0.0,Everyone,Libraries & Demo,2011-06-29,1.6 and up
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,17.0,Free,0.0,Teen,Personalization,2018-08-03,4.0.3 and up
Find&Save - Local Shopping,SHOPPING,6.2,Free,0.0,Everyone,Shopping,2017-12-22,4.1 and up
A&E - Watch Full Episodes of TV Shows,FAMILY,19.0,Free,0.0,Teen,Entertainment,2018-07-16,4.4 and up
Fantasy Football Manager (FPL),SPORTS,4.6,Free,0.0,Everyone,Sports,2018-08-03,4.1 and up
DEER HUNTER 2018,GAME,82.0,Free,0.0,Teen,Action,2018-06-26,3.0 and up
HD Movie Video Player,VIDEO_PLAYERS,4.1,Free,0.0,Everyone,Video Players & Editors,2018-03-27,4.0.3 and up
File Explorer,PRODUCTIVITY,0.7,Free,0.0,Everyone,Productivity,2013-09-30,2.2 and up
"Free phone calls, free texting SMS on free number",SOCIAL,35.0,Free,0.0,Everyone,Social,2018-07-31,4.1 and up
Calendar+ Schedule Planner App,PRODUCTIVITY,5.7,Free,0.0,Everyone,Productivity,2017-01-16,4.0.3 and up
Bubble Witch 3 Saga,GAME,78.0,Free,0.0,Everyone,Puzzle,2018-07-17,3.0 and up
Free Sports TV,SPORTS,9.8,Free,0.0,Everyone,Sports,2018-06-21,4.0.3 and up
All Events in City,EVENTS,9.5,Free,0.0,Everyone,Events,2018-06-12,4.0.3 and up
Files Go by Google: Free up space on your phone,TOOLS,8.5,Free,0.0,Everyone,Tools,2018-07-18,5.0 and up
Air Traffic,MAPS_AND_NAVIGATION,6.8,Free,0.0,Everyone,Maps & Navigation,2018-07-24,5.0 and up
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,7.6,Free,0.0,Everyone,Travel & Local;Action & Adventure,2017-08-09,4.4 and up
Caviar - Food Delivery,FOOD_AND_DRINK,8.5,Free,0.0,Everyone,Food & Drink,2018-07-20,6.0 and up
BET NOW - Watch Shows,ENTERTAINMENT,19.0,Free,0.0,Teen,Entertainment,2018-07-08,4.4 and up
Cisco Webex Teams,BUSINESS,46.0,Free,0.0,Everyone,Business,2018-08-02,4.4 and up
Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,8.2,Free,0.0,Everyone,Tools,2018-08-06,4.1 and up
Free & Premium VPN - FinchVPN,TOOLS,10.0,Free,0.0,Everyone,Tools,2018-07-05,4.1 and up
Football Live Scores,SPORTS,6.5,Free,0.0,Everyone,Sports,2018-07-31,4.0 and up
C++ Tutorials,EDUCATION,1.9,Free,0.0,Everyone,Education,2014-08-21,2.3 and up
Easy Makeup Tutorials,LIFESTYLE,5.0,Free,0.0,Everyone,Lifestyle,2016-11-03,2.3 and up
Build a Bridge!,FAMILY,74.0,Free,0.0,Everyone,Puzzle,2018-08-02,4.1 and up
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,10.0,Free,0.0,Everyone,Books & Reference,2018-07-28,4.0 and up
Flashlight,TOOLS,4.9,Free,0.0,Everyone,Tools,2018-07-06,4.0 and up
Font Studio- Photo Texts Image,PHOTOGRAPHY,24.0,Free,0.0,Everyone,Photography,2017-06-23,4.0 and up
Amazon for Tablets,SHOPPING,22.0,Free,0.0,Teen,Shopping,2018-07-31,4.4 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,7.2,Free,0.0,Everyone,Dating,2018-05-21,4.0 and up
"Breaking News, Local news, Attacks and Alerts Free",NEWS_AND_MAGAZINES,6.3,Free,0.0,Everyone,News & Magazines,2018-07-19,4.1 and up
Gyft - Mobile Gift Card Wallet,SHOPPING,14.0,Free,0.0,Everyone,Shopping,2018-07-25,4.4 and up
Citizens Bank Mobile Banking,FINANCE,38.0,Free,0.0,Everyone,Finance,2018-05-23,4.1 and up
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,7.8,Free,0.0,Teen,Comics,2018-06-16,4.0.3 and up
Bad Piggies,FAMILY,66.0,Free,0.0,Everyone,Puzzle,2017-05-03,4.1 and up
FlirtChat - ♥Free Dating/Flirting App♥,DATING,13.0,Free,0.0,Mature 17+,Dating,2018-07-26,4.1 and up
CBS Sports Fantasy,SPORTS,27.0,Free,0.0,Everyone,Sports,2018-06-27,5.0 and up
High Blood Pressure Symptoms,MEDICAL,2.3,Free,0.0,Everyone,Medical,2015-01-18,3.0 and up
Common Core,EDUCATION,15.0,Free,0.0,Everyone,Education,2016-12-20,2.3 and up
Candy Smash,FAMILY,15.0,Free,0.0,Everyone,Casual;Brain Games,2018-04-17,4.0.3 and up
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,9.4,Free,0.0,Everyone,Health & Fitness,2018-07-24,4.1 and up
Fruit Block - Puzzle Legend,GAME,33.0,Free,0.0,Everyone,Casual,2018-07-23,4.1 and up
Hamilton — The Official App,ENTERTAINMENT,43.0,Free,0.0,Everyone,Entertainment,2018-07-13,5.0 and up
Find a Way: Addictive Puzzle,FAMILY,14.0,Free,0.0,Everyone,Puzzle,2017-06-16,4.1 and up
Baby ABC in box! Kids alphabet games for toddlers!,FAMILY,53.0,Free,0.0,Everyone,Educational;Education,2018-07-16,4.1 and up
BeWild Free Dating & Chat App,DATING,8.0,Free,0.0,Mature 17+,Dating,2017-02-03,4.2 and up
Groovebook Photo Books & Gifts,PHOTOGRAPHY,36.0,Free,0.0,Everyone,Photography,2018-01-31,4.0.3 and up
2ndLine - Second Phone Number,COMMUNICATION,32.0,Free,0.0,Everyone,Communication,2018-08-03,4.0 and up
Herpes Positive Singles Dating,DATING,28.0,Free,0.0,Mature 17+,Dating,2018-05-18,4.1 and up
A+ Mobile,FINANCE,6.3,Free,0.0,Everyone,Finance,2018-06-26,4.4 and up
Blur Image Background Editor (Blur Photo Editor),PHOTOGRAPHY,9.6,Free,0.0,Everyone,Photography,2018-07-28,4.1 and up
Filters for Selfie,BEAUTY,25.0,Free,0.0,Everyone,Beauty,2018-05-10,4.0 and up
